Price,Close,High,Low,Open,Volume
Ticker,GE,GE,GE,GE,GE
Date,,,,,
2015-01-02,102.82271575927734,104.46394197204293,102.04313624758295,103.97157149544059,8538620
2015-01-05,100.9352798461914,102.61753265958113,100.60703730658264,102.61753265958113,8770735
2015-01-06,98.76068878173828,100.81221838475567,98.18626415077532,100.36088148017592,13304295
2015-01-07,98.80170440673828,100.07365422754734,98.39139464160979,99.33510187586069,9106535
2015-01-08,99.99158477783203,100.03261183157444,99.00685057292095,99.78642991332924,9019294
2015-01-09,98.59656524658203,100.64809480357314,98.26832260768164,100.60706773967652,9000055
2015-01-12,98.39140319824219,99.04789496038126,97.52976306762889,98.7606794061997,8945573
2015-01-13,97.89903259277344,99.82746762276622,96.95532534087243,99.54025862012158,8591202
2015-01-14,97.57078552246094,97.85799451192528,96.0526472710776,97.03738153590992,8732675
2015-01-15,96.75019836425781,98.35039115513081,96.66813769795144,97.89905422447953,6568703
2015-01-16,96.79120635986328,97.03738831027513,96.21678180890228,96.46296375931414,10390099
2015-01-20,97.85800170898438,97.94006235942807,96.62708542039773,97.81697464972807,9298421
2015-01-21,98.63758087158203,98.80170216113088,97.28357043490797,97.77593430355455,7849930
2015-01-22,99.62234497070312,99.95058764808648,98.30936119730451,99.70440564004896,9834098
2015-01-23,100.44295501708984,102.12520848333536,99.66336888507927,100.23780008425207,13299850
2015-01-26,100.8942642211914,101.5097288904007,100.1146847848964,101.42766824089233,8174317
2015-01-27,100.0326156616211,100.36085823184912,99.29406334667756,100.07364924886484,8012228
2015-01-28,97.81697082519531,100.48395819016721,97.69387658837705,100.40189754293199,10360866
2015-01-29,98.80170440673828,99.29406828657552,97.57078817521442,97.81697011513303,8437544
2015-01-30,98.0221176147461,98.92479125187488,97.73490861996663,97.98109055774792,11416362
2015-02-02,99.33512878417969,99.37615585264764,98.0631786188194,98.4734819631618,8263540
2015-02-03,100.40189361572266,100.64807554779894,99.54025358749034,99.66334128756318,7871527
2015-02-04,99.12997436523438,100.23780319865993,98.80173168804129,100.15574252936166,6935093
2015-02-05,100.5250015258789,100.5250015258789,99.45819994453043,99.49923353809177,5351640
2015-02-06,100.60707092285156,101.5507718055145,100.40191600108187,100.68913158517304,5732365
