Price,Close,High,Low,Open,Volume
Ticker,HSY,HSY,HSY,HSY,HSY
Date,,,,,
2015-01-02,81.0101089477539,81.69749371298805,80.40083513956027,81.49440641657952,786500
2015-01-05,80.43987274169922,81.23661383211109,80.06493190184025,80.57266193018745,857800
2015-01-06,80.70545196533203,81.47095345664525,80.37738245169032,80.72888465066609,1241200
2015-01-07,82.12710571289062,82.40049701829635,81.1038385585934,81.39284967024366,1020600
2015-01-08,83.71275329589844,83.97052470900164,82.41609526908982,82.74416472604943,1245800
2015-01-09,83.11910247802734,83.8299196088866,82.95506179604007,83.81429980842563,748300
2015-01-12,82.35363006591797,83.36127739470982,82.27551911722132,83.15037127779716,1123400
2015-01-13,83.32221221923828,83.66590751715859,82.81448215444226,83.1425576476766,1414400
2015-01-14,83.59559631347656,83.72057857815541,82.90821173619007,83.02538111945589,1499500
2015-01-15,84.72042083740234,85.22815090638865,84.03303619537166,84.23612345537983,1516400
2015-01-16,86.43889617919922,86.50919424399225,85.07193374193524,85.11098623588138,2532200
2015-01-20,86.22016143798828,86.97785000407926,85.50153131819397,86.70445875844906,1148700
2015-01-21,86.07955932617188,86.22016138948577,84.9156903328682,85.11097064527738,1320600
2015-01-22,86.53260803222656,86.69664277373258,85.34530639678597,86.19672566833843,1151900
2015-01-23,84.84540557861328,85.3921881552623,84.4782775802276,84.93132940629857,1556900
2015-01-26,85.39997863769531,85.45465688101841,84.48606830237425,84.80632488198624,808500
2015-01-27,85.28282928466797,85.75150090306423,83.50968644123253,83.50968644123253,1071400
2015-01-28,84.11116027832031,86.09520953080468,83.88463433647735,85.28284248541458,1431300
2015-01-29,80.6820068359375,80.77574352229865,77.12009618695606,79.61186868137032,6049800
2015-01-30,79.83841705322266,80.8929297443833,79.5181603802625,79.93996068914011,3111800
2015-02-02,81.28346252441406,81.36157940465661,79.33065970797527,79.6743549107025,1624700
2015-02-03,81.78338623046875,81.84587735596061,81.0100779208226,81.39282563536722,1264300
2015-02-04,82.56452941894531,83.17380911560323,81.67405150161579,81.67405150161579,1555400
2015-02-05,82.65043640136719,83.06442970456919,82.08802815570328,82.74417309547187,886600
2015-02-06,82.43174743652344,83.11913814136572,82.16616899836808,82.45518012700963,1106800
2015-02-09,81.9786605834961,82.77540747703844,81.86930410155597,82.0489645844469,879500
2015-02-10,82.70511627197266,82.97070059740429,82.00991883230252,82.49421615545297,793700
2015-02-11,82.93163299560547,83.15034596917937,82.00990977877147,82.85352207068358,781400
2015-02-12,83.31439971923828,83.32220664131718,82.31455946126549,82.76761124010717,1043600
2015-02-13,82.81446075439453,83.19721440434692,82.58012798776143,82.8691389958904,1122100
2015-02-17,82.72855377197266,83.04099750183353,82.01773057973023,82.71292800979033,1105100
2015-02-18,83.54090118408203,83.57995962377346,82.42389774699254,82.72854046572712,1267100
2015-02-19,82.7597885131836,83.82211381882263,82.34579523191638,83.55653547215377,1447900
2015-02-20,83.7674331665039,84.02520458461615,82.37703842805358,82.83009013998146,1483700
2015-02-23,83.19044494628906,83.59081584510794,82.58596257110104,83.28464563587309,1141300
2015-02-24,83.0098876953125,83.26109952873921,82.14634739224338,82.86858066467482,1233300
2015-02-25,81.90299224853516,83.08054890737377,81.76953726464721,82.82148500498218,1428500
2015-02-26,81.35343170166016,82.0678186816447,81.14932626968798,82.0678186816447,1768000
2015-02-27,81.47122955322266,81.89515072363469,81.18861543961464,81.36917678583896,1100600
2015-03-02,80.59196472167969,81.80091738250495,80.34859898738534,81.4712030204617,1124400
2015-03-03,80.50563049316406,80.78039253111879,80.07385729826149,80.56842896657999,769800
2015-03-04,79.70487976074219,80.32506028610453,79.32806500442237,80.15235102722356,832500
2015-03-05,80.34861755371094,80.52917888285448,79.8304957206854,80.00320499481495,891300
2015-03-06,78.22901153564453,79.97179626664555,77.94639747173288,79.86973752784475,1266000
2015-03-09,78.51161193847656,79.0454377452722,78.22899792373995,78.22899792373995,1447100
2015-03-10,77.34191131591797,78.28396014645664,77.33406525128449,78.18190141259828,1406900
2015-03-11,77.81293487548828,78.05629463305495,77.14564807419822,77.64807768590808,1311400
2015-03-12,78.97478485107422,79.1082398115232,77.82863062316282,78.04844020257572,998600
2015-03-13,78.40956115722656,79.10039814736457,77.79723272641307,78.93554095363496,783500
2015-03-16,79.17888641357422,79.22598674917049,78.49590160062306,78.59010826117665,739900
2015-03-17,78.5587158203125,79.06899148045053,78.24469956873817,78.86488001852295,709500
2015-03-18,79.37516784667969,79.72843244050425,77.49107603776892,78.44882305667805,1075800
2015-03-19,78.93553924560547,79.52431749162632,78.60581887591866,79.06899421058998,650200
2015-03-20,80.14447784423828,80.3799914968711,79.21028726467966,79.45364698020218,1011700
2015-03-23,79.90897369384766,80.49775186195203,79.75196258873642,80.34859280943665,554600
2015-03-24,78.9826431274414,80.6233690383037,78.95124090085656,80.02674470127867,723500
2015-03-25,79.83047485351562,80.85102013213783,79.10038965149319,79.43795605650058,1851000
2015-03-26,79.29664611816406,80.19158846312072,79.17103723286985,79.77551951196594,892200
2015-03-27,79.98748779296875,80.10524464145279,79.15534977857587,79.24955046587341,649000
2015-03-30,80.41139221191406,80.5997995368784,79.56355026553328,80.2072807827422,585200
2015-03-31,79.21817016601562,80.63908671931263,79.21817016601562,80.27011798153944,843700
2015-04-01,79.20243835449219,79.20243835449219,78.01702997077268,78.61366018891353,1016400
2015-04-02,79.09253692626953,79.59496050302943,78.52730890507428,78.9747800902936,643000
2015-04-06,79.68132019042969,80.1523415749638,78.96693306555284,79.02189144995431,1151200
2015-04-07,79.86973571777344,80.51346640668068,79.76768297064804,79.80693725227606,675300
2015-04-08,78.94340515136719,80.02676122952595,78.57443639949362,79.84619988671164,846800
2015-04-09,79.0846939086914,79.27310726352344,78.42526513486578,78.85703226362432,694400
2015-04-10,78.57441711425781,79.41441316665698,78.51161865289362,79.0846927950251,853600
2015-04-13,78.07984924316406,78.96693969162797,77.89929392546725,78.66077546652262,1147100
