Price,Close,High,Low,Open,Volume
Ticker,WYNN,WYNN,WYNN,WYNN,WYNN
Date,,,,,
2015-01-02,126.55622863769531,128.5723026575739,122.4723752683074,128.02089746034548,2228900
2015-01-05,124.40229034423828,125.93588634043269,122.2052807080833,125.54818185088438,1695100
2015-01-06,121.74862670898438,124.35918644773415,119.98240308282338,123.6354697798009,1975800
2015-01-07,125.32418060302734,126.83193054069038,123.42010204013125,124.25582734301595,1472000
2015-01-08,126.83192443847656,128.39997746200422,126.12542961991127,126.70268084783058,1676600
2015-01-09,128.41725158691406,130.63148379681246,128.11569626365443,129.27882320018213,2210100
2015-01-12,127.90890502929688,128.80493356527458,126.44422302670947,128.39999392642332,1250400
2015-01-13,129.072021484375,132.27706844589505,127.6073525957645,129.42526894680657,1627700
2015-01-14,128.029541015625,128.65848458292936,125.28112559411109,127.29719991990677,1378800
2015-01-15,127.21102905273438,130.0972988893585,126.85779472261561,128.71877920542562,1061600
2015-01-16,126.64239501953125,127.40056897295591,124.39369295854158,125.1949481147436,957800
2015-01-20,122.36902618408203,126.64242755463044,118.99166673396603,126.62519243978424,2520700
2015-01-21,123.10992431640625,123.99734171655227,119.69809613445464,119.69809613445464,1605000
2015-01-22,126.84921264648438,127.21107122550838,123.84233547321023,124.17834794991411,1409400
2015-01-23,125.79804229736328,127.055942394996,124.77278331808712,126.25467411274506,964700
2015-01-26,134.25869750976562,135.01688468797494,126.51316446776248,126.51316446776248,2587100
2015-01-27,133.5780029296875,135.91286683861674,131.9065657213219,134.2328055038329,1739600
2015-01-28,132.2339630126953,135.05130492078067,131.63086571572134,134.79283089449606,1740300
2015-01-29,131.7946014404297,135.46489152140327,128.88248538602588,132.84571978622495,1418500
2015-01-30,127.46949005126953,130.38160568269896,127.21964012180605,130.00251215120676,1738100
2015-02-02,129.01168823242188,129.05475627920518,125.30692909818258,127.70209620546264,1211300
2015-02-03,134.23280334472656,135.2149940436122,127.5987073507424,128.92552129092564,2386800
2015-02-04,125.88420867919922,133.4574161564286,124.22999302555786,130.53668938340695,4808700
2015-02-05,126.34085083007812,127.68490033680153,124.45400704312469,126.22884232233835,1760000
2015-02-06,125.99623107910156,128.27939048007178,125.4362016709025,128.19322806449074,1464500
2015-02-09,127.90030670166016,128.87388685697994,125.36728398903192,125.55683080062586,1295700
2015-02-10,133.24200439453125,134.732532299739,129.90772746752236,130.29543194680832,2354800
2015-02-11,131.58030700683594,133.5552199959431,130.9364948775004,133.38122066445456,1126600
2015-02-12,134.60800170898438,134.84290821933925,131.05835790653992,132.12846691434973,2591600
2015-02-13,138.6273651123047,139.55828201588466,134.61661920752908,135.26912658937783,2153900
2015-02-17,136.59156799316406,138.51429590604647,134.69495259317313,138.07929091243767,1810900
