Price,Close,High,Low,Open,Volume
Ticker,NRG,NRG,NRG,NRG,NRG
Date,,,,,
2003-12-02,7.246066093444824,7.246066093444824,7.151961338984502,7.151961338984502,160000
2003-12-03,7.3401713371276855,7.3401713371276855,7.3401713371276855,7.3401713371276855,300000
2003-12-04,7.6224822998046875,7.6224822998046875,7.6224822998046875,7.6224822998046875,50000
2003-12-05,7.6224822998046875,7.6224822998046875,7.6224822998046875,7.6224822998046875,0
2003-12-08,8.2059326171875,8.2059326171875,7.90479775191833,7.90479775191833,954000
2003-12-09,8.330155372619629,8.563535558694154,8.205937083343885,8.205937083343885,3014200
2003-12-10,8.469427108764648,8.65763660007053,8.375322363111708,8.375322363111708,2994600
2003-12-11,8.619996070861816,8.6576381193209,8.518362755410998,8.56353335715437,2203200
2003-12-12,8.638813972473145,8.676455287799735,8.627521147097927,8.657634630136439,709000
2003-12-15,8.431783676147461,8.619993136409512,8.431783676147461,8.619993136409512,1287000
2003-12-16,8.262397766113281,8.412965230337283,8.205934338812266,8.412965230337283,885600
2003-12-17,8.074187278747559,8.243575386254761,8.055365899271948,8.243575386254761,1150800
2003-12-18,8.11182689666748,8.11182689666748,8.074185581552898,8.074185581552898,2425200
2003-12-19,8.2059326171875,8.2059326171875,8.111827882045615,8.111827882045615,1421800
2003-12-22,8.149473190307617,8.205935910460395,8.149473190307617,8.149473190307617,5200
2003-12-23,8.2059326171875,8.224753994993169,8.168291297500467,8.168291297500467,133800
2003-12-24,8.224754333496094,8.224754333496094,8.205932954915802,8.205932954915802,20200
2003-12-26,8.224754333496094,8.224754333496094,8.224754333496094,8.224754333496094,1000
2003-12-29,8.2059326171875,8.2059326171875,8.2059326171875,8.2059326171875,1200
2003-12-30,8.243574142456055,8.243574142456055,8.224753483782338,8.224753483782338,31600
2003-12-31,8.243574142456055,8.281216177765591,8.243574142456055,8.243574142456055,14200
2004-01-02,8.45060920715332,8.45060920715332,8.26239965437006,8.281220322463401,557600
2004-01-05,8.431783676147461,8.469425711792294,8.394141640502628,8.450605052950936,136000
2004-01-06,8.45060920715332,8.469429875246659,8.428023543886352,8.431787821097515,160600
2004-01-07,8.375324249267578,8.431786965782521,8.281219482421875,8.431786965782521,283400
2004-01-08,8.379088401794434,8.412966174793308,8.356503459115979,8.412966174793308,385200
2004-01-09,7.961258411407471,8.394139938654313,7.961258411407471,8.394139938654313,3456200
2004-01-12,7.9800801277160645,7.998900783551386,7.9800801277160645,7.998900783551386,17800
2004-01-13,7.904801368713379,8.03654820178443,7.889744259579554,7.998906146912348,1069600
2004-01-14,7.904801368713379,7.942443423585463,7.904801368713379,7.9236220371681805,208600
2004-01-15,7.848335266113281,7.90479796512891,7.810693227448804,7.90479796512891,54200
2004-01-16,7.8295135498046875,7.86715558684418,7.810692890266011,7.810692890266011,493800
2004-01-20,7.904801368713379,7.9236220371681805,7.89350853686301,7.904801368713379,856600
2004-01-21,7.904801368713379,7.961264092040264,7.904801368713379,7.9236220371681805,969600
