Price,Close,High,Low,Open,Volume
Ticker,TKO,TKO,TKO,TKO,TKO
Date,,,,,
2000-01-03,6.810754299163818,7.259524931279263,6.731559481731681,7.2331266588018845,141400
2000-01-04,6.5203752517700195,6.8371546162284815,6.309189008797711,6.757959775113866,166600
2000-01-05,6.7579569816589355,6.7579569816589355,6.3883812092244625,6.467576017603278,183600
2000-01-06,6.335587501525879,6.784358282883963,6.229994376500448,6.7579600016276045,73700
2000-01-07,6.361983299255371,6.678762550670577,6.177195402596502,6.361983299255371,80700
2000-01-10,6.342187404632568,6.6523672256707895,6.3355878339721805,6.3355878339721805,54500
2000-01-11,6.256392955780029,6.493977498404587,6.1771981082385095,6.3619860858353885,69000
2000-01-12,6.150799751281738,6.361986008836476,6.124401469087396,6.309189444447791,117600
2000-01-13,6.229992866516113,6.361984240806708,6.177196316799875,6.348785103377649,147600
2000-01-14,6.256392955780029,6.282791238293869,6.20359639075235,6.243193814523109,45600
2000-01-18,6.018806457519531,6.256390922947934,6.018806457519531,6.229992649011444,59500
2000-01-19,6.018806457519531,6.309187470820912,5.992408183583041,5.992408183583041,61700
2000-01-20,6.2827887535095215,6.546771474245216,6.0716025769209665,6.229992209362383,98200
2000-01-21,6.335587501525879,6.388384064038595,6.229994376500448,6.309189220269522,81900
2000-01-24,6.7579569816589355,7.101134484633803,6.229991592466831,6.256389861926436,448900
2000-01-25,6.546774387359619,6.7579606579196065,6.546774387359619,6.7579606579196065,325400
2000-01-26,6.969144344329834,7.021940892392939,6.467577137730339,6.546771959824996,64700
2000-01-27,6.916348934173584,7.074738604421833,6.6523661504265,6.784357542300042,87800
2000-01-28,6.652368068695068,7.127537216459002,6.441181780799987,7.074740644485232,75300
2000-01-31,6.5203752517700195,6.757959775113866,6.282790728426172,6.612769233070404,73700
2000-02-01,6.4411797523498535,6.757959084432633,6.4411797523498535,6.599569418391243,107900
2000-02-02,6.969144344329834,7.074737440456044,6.335585767572576,6.559971096840772,218700
2000-02-03,5.200460910797119,7.549907718213077,5.0684695171220655,7.153933537187916,6307100
2000-02-04,4.8572845458984375,5.438046828560207,4.751691403596297,5.385250257409137,1780300
2000-02-07,4.910080909729004,5.121267185416273,4.751691202963553,5.121267185416273,1403500
2000-02-08,4.8044843673706055,5.121263556428008,4.698891304351471,5.094865290673225,948900
2000-02-09,4.514105796813965,4.85728343048988,4.487707517300433,4.85728343048988,943600
2000-02-10,4.329317092895508,4.619698117418987,4.276520542982148,4.619698117418987,550800
2000-02-11,4.355715274810791,4.487706646774754,4.118130805275657,4.329317000417999,708000
2000-02-14,4.778088092803955,4.857282923071423,4.566901878757371,4.619698432269017,611600
2000-02-15,4.8572845458984375,4.910081117049507,4.778089689171832,4.778089689171832,839000
2000-02-16,5.01567268371582,5.226858901977539,4.830884742736816,4.923278713226318,424900
2000-02-17,4.8572845458984375,5.121267401653787,4.8572845458984375,5.121267401653787,256000
2000-02-18,4.910080909729004,5.015674047572639,4.857284340807187,4.910080909729004,181700
2000-02-22,4.989274978637695,5.121266380188957,4.883681857396685,4.910080137706938,615400
2000-02-23,4.830886363983154,5.068470939261014,4.751691505557201,5.068470939261014,263000
2000-02-24,4.778088092803955,4.857282923071423,4.751689816048132,4.857282923071423,237600
2000-02-25,4.9364776611328125,5.068469042446524,4.778088003556358,4.804486279819101,150800
2000-02-28,4.910080909729004,5.042072332033547,4.80448777188537,5.015674047572639,102300
2000-02-29,5.490840911865234,5.596434006324181,5.068468534029447,5.20045990210313,895300
2000-03-01,5.886815071105957,6.124399535859112,5.7548237017986485,6.071602988136188,749000
